"","eta","max_depth","min_child_weight","subsample","colsample_bytree","lambda","alpha","best_score","best_iteration"
"1",0.05,3,1,0.6,0.6,1,0,0.194358246733562,100
"2",0.1,3,1,0.6,0.6,1,0,0.144189082063282,100
"3",0.2,3,1,0.6,0.6,1,0,0.110623126439905,100
"4",0.05,6,1,0.6,0.6,1,0,0.13495283454098,100
"5",0.1,6,1,0.6,0.6,1,0,0.0957858551870784,100
"6",0.2,6,1,0.6,0.6,1,0,0.0719025312983224,100
"7",0.05,9,1,0.6,0.6,1,0,0.122096053105323,100
"8",0.1,9,1,0.6,0.6,1,0,0.0843016748019198,100
"9",0.2,9,1,0.6,0.6,1,0,0.0670469028879431,100
"10",0.05,3,3,0.6,0.6,1,0,0.194465163621674,100
"11",0.1,3,3,0.6,0.6,1,0,0.142601772351717,100
"12",0.2,3,3,0.6,0.6,1,0,0.111380148160565,100
"13",0.05,6,3,0.6,0.6,1,0,0.135974842060132,100
"14",0.1,6,3,0.6,0.6,1,0,0.0936513318001648,100
"15",0.2,6,3,0.6,0.6,1,0,0.0752799700987238,100
"16",0.05,9,3,0.6,0.6,1,0,0.121702606411843,100
"17",0.1,9,3,0.6,0.6,1,0,0.0871360967132204,100
"18",0.2,9,3,0.6,0.6,1,0,0.0728885550035409,100
"19",0.05,3,5,0.6,0.6,1,0,0.194247890972214,100
"20",0.1,3,5,0.6,0.6,1,0,0.143465414892059,100
"21",0.2,3,5,0.6,0.6,1,0,0.112196352759538,100
"22",0.05,6,5,0.6,0.6,1,0,0.13956255182403,100
"23",0.1,6,5,0.6,0.6,1,0,0.0990151359043615,100
"24",0.2,6,5,0.6,0.6,1,0,0.0806718988813351,100
"25",0.05,9,5,0.6,0.6,1,0,0.130030097911734,100
"26",0.1,9,5,0.6,0.6,1,0,0.091295227731913,100
"27",0.2,9,5,0.6,0.6,1,0,0.0755278661829313,100
"28",0.05,3,1,0.8,0.6,1,0,0.19645466833774,100
"29",0.1,3,1,0.8,0.6,1,0,0.143775659035622,100
"30",0.2,3,1,0.8,0.6,1,0,0.112455777052046,100
"31",0.05,6,1,0.8,0.6,1,0,0.133609187784538,100
"32",0.1,6,1,0.8,0.6,1,0,0.0892250418336116,100
"33",0.2,6,1,0.8,0.6,1,0,0.0691021988114393,100
"34",0.05,9,1,0.8,0.6,1,0,0.119990777775608,100
"35",0.1,9,1,0.8,0.6,1,0,0.0816166739828083,100
"36",0.2,9,1,0.8,0.6,1,0,0.0640685488267734,100
"37",0.05,3,3,0.8,0.6,1,0,0.197568172688324,100
"38",0.1,3,3,0.8,0.6,1,0,0.141119346932044,100
"39",0.2,3,3,0.8,0.6,1,0,0.111442287277461,100
"40",0.05,6,3,0.8,0.6,1,0,0.134523632675125,100
"41",0.1,6,3,0.8,0.6,1,0,0.0941740388212254,100
"42",0.2,6,3,0.8,0.6,1,0,0.0711015971567417,100
"43",0.05,9,3,0.8,0.6,1,0,0.120279932573278,100
"44",0.1,9,3,0.8,0.6,1,0,0.0835606239482752,100
"45",0.2,9,3,0.8,0.6,1,0,0.0684714934495528,100
"46",0.05,3,5,0.8,0.6,1,0,0.195702094423661,100
"47",0.1,3,5,0.8,0.6,1,0,0.145312841621382,100
"48",0.2,3,5,0.8,0.6,1,0,0.111389598373056,100
"49",0.05,6,5,0.8,0.6,1,0,0.136048064417511,100
"50",0.1,6,5,0.8,0.6,1,0,0.0969171009922078,100
"51",0.2,6,5,0.8,0.6,1,0,0.0756644380262251,100
"52",0.05,9,5,0.8,0.6,1,0,0.126409958325359,100
"53",0.1,9,5,0.8,0.6,1,0,0.0903519504893064,100
"54",0.2,9,5,0.8,0.6,1,0,0.0701246347259876,100
"55",0.05,3,1,1,0.6,1,0,0.196489047959648,100
"56",0.1,3,1,1,0.6,1,0,0.143498688617355,100
"57",0.2,3,1,1,0.6,1,0,0.111328839924805,100
"58",0.05,6,1,1,0.6,1,0,0.133634946121861,100
"59",0.1,6,1,1,0.6,1,0,0.0903998141405392,100
"60",0.2,6,1,1,0.6,1,0,0.0688012363695859,100
"61",0.05,9,1,1,0.6,1,0,0.114869321363691,100
"62",0.1,9,1,1,0.6,1,0,0.0796363754875747,100
"63",0.2,9,1,1,0.6,1,0,0.0620017540775397,100
"64",0.05,3,3,1,0.6,1,0,0.196034523690475,100
"65",0.1,3,3,1,0.6,1,0,0.143447586145709,100
"66",0.2,3,3,1,0.6,1,0,0.111937047570002,100
"67",0.05,6,3,1,0.6,1,0,0.133632072736569,100
"68",0.1,6,3,1,0.6,1,0,0.0909099164185645,100
"69",0.2,6,3,1,0.6,1,0,0.0711570643765939,100
"70",0.05,9,3,1,0.6,1,0,0.120911140995523,100
"71",0.1,9,3,1,0.6,1,0,0.0810204845776966,100
"72",0.2,9,3,1,0.6,1,0,0.0641849221508188,100
"73",0.05,3,5,1,0.6,1,0,0.195346409601936,100
"74",0.1,3,5,1,0.6,1,0,0.143055925282261,100
"75",0.2,3,5,1,0.6,1,0,0.111044235708162,100
